QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,RequiredAge,DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,ScreenshotCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,AchievementHighlightedCount,ControllerSupport,IsFree,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceCurrency,PriceInitial,PriceFinal
10,10,Counter-Strike,Counter-Strike,Nov 1 2000,0,0,1,0,88,0,1,68991,1,13,13033334.0,92789.0,9140731.0,78136.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
20,20,Team Fortress Classic,Team Fortress Classic,Apr 1 1999,0,0,1,0,0,0,1,2439,1,5,5399140.0,60368.0,753627.0,22699.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
30,30,Day of Defeat,Day of Defeat,May 1 2003,0,0,1,0,79,0,1,2319,1,5,7621102.0,71499.0,1709740.0,34145.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
40,40,Deathmatch Classic,Deathmatch Classic,Jun 1 2001,0,0,1,0,0,0,1,888,1,4,7498965.0,70936.0,789676.0,23235.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
50,50,Half-Life: Opposing Force,Half-Life: Opposing Force,Nov 1 1999,0,0,1,0,0,0,1,2934,1,5,5399499.0,60370.0,705741.0,21968.0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
60,60,Ricochet,Ricochet,Nov 1 2000,0,0,1,0,0,0,1,1965,1,4,7488563.0,70888.0,843481.0,24011.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
70,70,Half-Life,Half-Life,Nov 8 1998,0,0,1,1,96,0,1,12486,1,11,5927504.0,63206.0,2268772.0,39303.0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
80,80,Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,Mar 1 2004,0,0,1,0,65,0,1,7067,1,8,10489261.0,83543.0,4127910.0,52878.0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
80,80,Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,Mar 1 2004,0,0,1,0,65,0,1,7067,1,8,10489261.0,83543.0,4127910.0,52878.0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
130,130,Half-Life: Blue Shift,Half-Life: Blue Shift,Jun 1 2001,0,0,1,0,71,0,1,2219,1,5,5368650.0,60199.0,662517.0,21286.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
